iter	Passed	Remaining
0	16	16924
1	26	13026
2	32	10750
3	38	9667
4	43	8634
5	47	7872
6	51	7284
7	54	6814
8	58	6420
9	61	6073
10	64	5798
11	67	5542
12	70	5336
13	73	5170
14	75	4986
15	78	4857
16	82	4759
17	85	4637
18	88	4585
19	91	4488
20	94	4412
21	97	4347
22	100	4269
23	103	4214
24	106	4148
25	109	4092
26	112	4055
27	115	4006
28	118	3956
29	121	3943
30	124	3899
31	128	3883
32	131	3846
33	134	3809
34	137	3791
35	140	3755
36	143	3732
37	146	3701
38	148	3668
39	152	3653
40	155	3629
41	158	3606
42	161	3594
43	164	3568
44	166	3542
45	170	3527
46	172	3503
47	176	3492
48	178	3470
49	181	3454
50	184	3439
51	187	3420
52	190	3406
53	193	3398
54	196	3383
55	199	3366
56	203	3359
57	206	3347
58	209	3337
59	212	3321
60	215	3310
61	218	3299
62	221	3287
63	223	3273
64	227	3268
65	230	3260
66	233	3253
67	236	3245
68	239	3232
69	242	3224
70	245	3218
71	248	3207
72	251	3199
73	254	3187
74	257	3178
75	260	3169
76	263	3158
77	266	3154
78	269	3144
79	272	3133
80	276	3133
81	278	3121
82	281	3114
83	285	3108
84	287	3098
85	291	3093
86	293	3082
87	296	3071
88	299	3066
89	301	3051
90	304	3042
91	308	3042
92	310	3032
93	314	3029
94	317	3022
95	320	3013
96	323	3011
97	326	3003
98	328	2993
99	332	2988
100	334	2979
101	337	2973
102	340	2968
103	343	2960
104	346	2954
105	349	2950
106	352	2942
107	355	2939
108	358	2931
109	361	2926
110	364	2920
111	367	2912
112	370	2905
113	373	2899
114	375	2891
115	378	2885
116	381	2878
117	384	2873
118	387	2867
119	390	2860
120	392	2853
121	395	2847
122	398	2840
123	401	2834
124	403	2827
125	406	2820
126	409	2813
127	412	2807
128	414	2799
129	417	2796
130	420	2791
131	423	2787
132	426	2781
133	429	2776
134	432	2773
135	435	2767
136	438	2762
137	441	2757
138	444	2752
139	447	2748
140	450	2742
141	453	2737
142	456	2733
143	458	2727
144	461	2722
145	464	2717
146	467	2711
147	470	2709
148	473	2703
149	476	2698
150	478	2692
151	481	2686
152	484	2681
153	487	2675
154	489	2670
155	492	2664
156	495	2658
157	497	2653
158	500	2647
159	503	2641
160	505	2635
161	508	2630
162	511	2625
163	514	2620
164	516	2615
165	519	2610
166	522	2605
167	525	2602
168	528	2599
169	531	2597
170	535	2596
171	538	2593
172	541	2590
173	545	2587
174	548	2587
175	552	2584
176	555	2581
177	558	2581
178	562	2577
179	566	2579
180	569	2576
181	573	2575
182	576	2573
183	579	2570
184	582	2567
185	586	2564
186	589	2562
187	592	2560
188	596	2558
189	599	2554
190	602	2551
191	605	2548
192	608	2545
193	615	2557
194	625	2581
195	636	2609
196	641	2614
197	645	2614
198	649	2615
199	654	2616
200	658	2616
201	662	2616
202	666	2617
203	670	2615
204	674	2614
205	677	2612
206	682	2614
207	686	2613
208	690	2612
209	694	2611
210	698	2610
211	702	2609
212	706	2608
213	709	2607
